Key,Example,Source,Context,Game Locations,vi,vi translator type,id,id translator type,it,it translator type,es,es translator type,pt,pt translator type,fr,fr translator type,de,de translator type,zh-hans,zh-hans translator type,ja,ja translator type,ko,ko translator type,ru,ru translator type,th,th translator type,tr,tr translator type,zh-hant,zh-hant translator type,pl,pl translator type
,,"Expert mapped by -AzuMi",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Chuyên gia được map bởi -AzuMi","Automation","Ahli dipetakan oleh -AzuMi","Automation","Esperto mappato da -AzuMi","Automation","Experto asignado por -AzuMi","Automation","Especialista mapeado por -AzuMi","Automation","Expert cartographié par -AzuMi","Automation","Experte zugeordnet von -AzuMi","Automation","由 -AzuMi 映射专家","Automation","-AzuMiがマッピングしたエキスパート","Automation","전문가 맵핑: -AzuMi","Automation","Эксперт, сопоставленный -AzuMi","Automation","ถูกสร้างโดย -AzuMi","Automation","Uzman -AzuMi tarafından eşleştirildi","Automation","專家由 -AzuMi 繪製","Automation","Ekspert mapowany przez -AzuMi","Automation"
,,"Cursor trail size",,"PlayerGui.BG.SkinCustomize.MainFrame.MainFrame._4","Kích thước đường mòn con trỏ","Automation","Ukuran jejak kursor","Automation","Dimensione del cursore","Automation","Tamaño de la ruta de cursor","Automation","Tamanho do rastro do cursor","Automation","Taille trace curseur","Automation","Cursor Spurgröße","Automation","光标踪迹大小","Automation","カーソルのトレイルサイズ","Automation","커서 트레일 크기","Automation","Размер трассы курсора","Automation","ขนาดเส้นโค้ง","Automation","İmleci iz boyutu","Automation","游標軌跡大小","Automation","Rozmiar szlaku kursora","Automation"
,,"collab insane mapped by Deca",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","cộng tác điên rồ được lập bản đồ bởi Deca","Automation","kolab crazy dipetakan oleh Deca","Automation","collab insane mappato da Deca","Automation","collab loco mapeado por Deca","Automation","collab insane mapeado por Deca","Automation","collab insane cartographié par Deca","Automation","Collab insane von Deca kartiert","Automation","由Deca绘制的CollabCrazy","Automation","Decaがマッピングしたコラボクレイジー","Automation","Deca가 매핑한 collab insane","Automation","коллаб сумасшедший, сопоставленный Декой","Automation","collab insane ทําแผนที่โดย Deca","Automation","collab insane, Deca tarafından haritalandı","Automation","由Deca繪製的CollabCrazy","Automation","collab crazy mapowany przez Decę","Automation"
,,"Mushikui Psychedelism",,"PlayerGui.PlayScreen.ContentLoadingUI.BeatmapDisplay.Title","Chủ nghĩa thái nhân cách Mushikui","Automation","Psychedelism Mushikui","Automation","Psicodelismo Mushikui","Automation","Psicodelismo Mushikui","Automation","Psychedelismo Mushikui","Automation","Psychédélisme Mushikui","Automation","Mushikui-Psychodelismus","Automation","Mushikui迷幻主义","Automation","ムシクイサイケデリズム","Automation","무쉬쿠이 심령술","Automation","Психоделизм Мусикуи","Automation","Mushikui จิตวิทยา","Automation","Mushikui Psychedelism","Automation","Mushikui迷幻主義","Automation","Psychodelizm Mushikui","Automation"
,,"Playing RADWIMPS - Yume Tourou [Toukai's Easy]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","Memainkan RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","Giocare a RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","Jugar a RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","Jogando RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","Jouer à RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","RADWIMPS spielen - Yume Tourou [Toukai's Easy]","Automation","正在玩RADWIMPS - Yume Tourou [Toukai的简单]","Automation","RADWIMPSをプレイする - Yume Tourou [Toukai's Easy]","Automation","RADWIMPS 플레이 - Yume Tourou [Toukai's Easy]","Automation","Играть в RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","กําลังเล่น RADWIMPS - Yume Tourou [Toukai's Easy]","Automation","RADWIMPS Oynamak - Yume Tourou [Toukai'nin Kolay]","Automation","彈奏RADWIMPS - Yume Tourou [Toukai的簡單]","Automation","Odtwarzanie RADWIMPS - Yume Tourou [Toukai's Easy]","Automation"
,,"blend s mapped by BarkingMadDog",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.DifficultyName","pha trộn s được lập bản đồ bởi BarkingMadDog","Automation","campuran s dipetakan oleh BarkingMadDog","Automation","miscela mappata da BarkingMadDog","Automation","mezcla s mapeado por BarkingMadDog","Automation","mistura s mapeada por BarkingMadDog","Automation","mélange s cartographié par BarkingMadDog","Automation","Mischung s zugeordnet von BarkingMadDog","Automation","由 BarkingMadDog 映射的混合 s","Automation","BarkingMadDogによってマッピングされたブレンド","Automation","BarkingMadDog에 의해 맵핑된 블렌드","Automation","смесь s нанесена на карту BarkingMadDog","Automation","เบลนด์ s ที่ถูกทําแผนที่โดย BarkingMadDog","Automation","BarkingMadDog tarafından karıştırıldı","Automation","被 BarkingMadDog 映射了","Automation","mieszanka s zmapowana przez BarkingMadDog","Automation"
,,"Mayu's Expert mapped by Ayesha Altugle",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Chuyên gia của Mayu đã được Ayesha Altugle ánh xạ","Automation","Ahli Mayu dipetakan oleh Ayesha Altugle","Automation","L'esperto di Mayu mappato da Ayesha Altugle","Automation","Experto de Mayu mapeado por Ayesha Altugle","Automation","Especialista de Mayu mapeado por Ayesha Altugle","Automation","Expert de Mayu cartographié par Ayesha Altugle","Automation","Mayu's Expert von Ayesha Altugle zugeordnet","Automation","由Ayesha Altugle映射的Mayu的专家","Automation","MayuのエキスパートがAyesha Altugleによってマッピングされました","Automation","Ayesha Altugle이 매핑한 Mayu's Expert","Automation","Эксперт Майу нарисован Айешей Альтугл","Automation","Mayu's Expert ทําแผนที่โดย Ayesha Altugle","Automation","Mayu'nun Uzmanı Ayesha Altugle tarafından eşleştirildi","Automation","Ayesha Altugle 映射了 Mayu 的專家","Automation","Ekspert Mayu's mapped przez Ayesha Altugle","Automation"
,,"mapset by Meg",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi Meg","Automation","mapset oleh Meg","Automation","mapset di Meg","Automation","mapset por Meg","Automation","mapset por Meg","Automation","mapset par Meg","Automation","mapset von Meg","Automation","mapset 由 Meg 制作","Automation","メグのマップセット","Automation","메그의 맵 세트","Automation","набор карт от Мег","Automation","mapset โดย Meg","Automation","haritalar Meg tarafından","Automation","mapset 由 Meg 製作","Automation","zestaw map autorstwa Meg","Automation"
,,"Sotarks' Okyakusama mapped by Irya",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Okyakusama của Sotarks được lập bản đồ bởi Irya","Automation","Okyakusama Sotarks dipetakan oleh Irya","Automation","Okyakusama di Sotarks mappato da Irya","Automation","Okyakusama de Sotarks mapeado por Irya","Automation","Okyakusama de Sotarks mapeado por Irya","Automation","Okyakusama de Sotarks cartographié par Irya","Automation","Sotarks Okyakusama von Irya abgebildet","Automation","索塔克的Okyakusama被Irya映射","Automation","SotarksのOkyakusamaがIryaによってマッピングされました","Automation","Irya에 의해 맵핑된 Sotarks의 Okyakusama","Automation","Окьякусама Сотарка на карте Ирьи","Automation","Okyakusama ของ Sotarks ถูกทําแผนที่โดย Irya","Automation","Sotarks'ın Okyakusama'sı Irya tarafından haritalandı","Automation","索塔克的Okyakusama被Irya映射","Automation","Okyakusama Sotarksa zmapowany przez Irya","Automation"
,,"Test",,"PlayerGui.PlayScreen.Storyboard.TutorialStoryboard.TextLabel","Kiểm tra","Automation","Tes","Automation","Prova","Automation","Prueba","Automation","Teste","Automation","Tester","Automation","Test","Automation","测试","Automation","テスト","Automation","테스트","Automation","Тест","Automation","ทดสอบ","Automation","Test","Automation","測試","Automation","Test","Automation"
,,"Approach time: {number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143.8ms
Spin difficulty: 202rpm
Hit object radius: 37.38 (scaled)",,"PlayerGui.TopDisplay.PreviewFrameMapDetail.BeatmapDetail.MapDetail","Thời gian tiếp cận: {number1}ms
{number2}: + - {number3} giây
{number4}: + - {number5} giây
50: +-143,8 giây
Độ khó quay: 202 vòng/phút
Bán kính trúng đối tượng: 37.38 (có quy mô)","Automation","Waktu pendekatan: {number1}ms
{number2}: + - {number3} ms
{number4}: + - {number5} ms
50: +-143,8 ms
Kesulitan berputar: 202rpm
Pukul radius objek: 37.38 (diseskala)","Automation","Tempo di avvicinamento: {number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143,8 ms
Difficoltà di rotazione: 202 giri/min
Raggio di impatto dell'oggetto: 37.38 (calcolato)","Automation","Tiempo de aproximación: {number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143.8ms
Dificultad de giro: 202rpm
Radio de impacto del objeto: 37.38 (a escala)","Automation","Tempo de aproximação: {number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143,8 ms
Dificuldade de giro: 202rpm
Raio de impacto do objeto: 37.38 (escalar)","Automation","Temps d'approche: {number1}ms
{number2}: +-{number3} ms
{number4}: +-{number5} ms
50: +-143,8 ms
Difficulté de rotation: 202 tr/min
Rayon d'impact de l'objet: 37.38 (à l'échelle)","Automation","Annäherungszeit: {number1}ms
{number2}: +-{number3} ms
{number4}: +-{number5} ms
50: +-143,8 ms
Drehschwierigkeit: 202 u/min
Radius des Trefferobjekts: 37,38 (skaliert)","Automation","接近时间:{number1}ms
{number2}:+-{number3}ms
{number4}:+-{number5}ms
50: +-143.8 毫秒
旋转难度:202rpm
击中物体半径:37.38(缩放)","Automation","接近時間:{number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143.8ms
回転の難易度: 202rpm
オブジェクトの打撃半径:37.38(スケール)","Automation","접근 시간: {number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143.8ms
회전 난이도: 202rpm
대상체 공격 반경: 37.38 (스케일)","Automation","Время приближения: {number1}ms
{number2}: +-{number3} мс
{number4}: +-{number5} мс
50: +-143.8 мс
Сложность вращения: 202 об/мин
Радиус удара по объекту: 37.38 (в масштабе)","Automation","เวลาในการเข้าถึง: {number1}ms
{number2}: + - {number3}ms
{number4}: + - {number5}ms
50: +-143.8 มิลลิวินาที
ความยากในการหมุน: 202 รอบต่อนาที
รัศมีของวัตถุที่โดนชน: 37.38 (ขนาด)","Automation","Yaklaşım Süresi: {number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143.8ms
Dönme zorluğu: 202 devir/dakika
Nesneye vurma yarıçapı: 37.38 (ölçeklendirilmiş)","Automation","接近時間:{number1}ms
{number2}:+-{number3}ms
{number4}:+-{number5}ms
50:+-143.8ms
旋轉難度:202rpm
擊中物體半徑:37.38(縮放)","Automation","Czas podejścia: {number1}ms
{number2}: +-{number3}ms
{number4}: +-{number5}ms
50: +-143,8 ms
Trudność obrotów: 202 obr./min
Promień trafienia obiektu: 37.38 (skalowany)","Automation"
,,"Eevee{number1}",,"PlayerGui.Explorer.MainFrame.MainFrame.Frame.ExplorerFrame.Model-Eevee7102.FileButton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Go to settings",,"PlayerGui.BG.SettingsFrame.MainSettings.GoToSettings","Đi đến cài đặt","Automation","Pergi ke pengaturan","Automation","Vai alle impostazioni","Automation","Ir a la configuración","Automation","Vá para as configurações","Automation","Aller aux paramètres","Automation","Gehe zu den Einstellungen","Automation","转到设置","Automation","設定に移動","Automation","설정으로 이동","Automation","Перейти в настройки","Automation","ไปที่การตั้งค่า","Automation","Ayarlara git","Automation","前往設定","Automation","Przejdź do ustawień","Automation"
,,"Playing Reol - Asymmetry [pk's Hard]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi Reol - Bất đối xứng [Khó khăn của pk]","Automation","Bermain Reol - Asimetri [Pk's Hard]","Automation","Giocando Reol - Asimmetria [pk's Hard]","Automation","Jugando Reol - Asimetría [pk's Hard]","Automation","Jogando Reol - Asimetria [pk's Hard]","Automation","En train de jouer à Reol - Asymmetry [pk's Hard]","Automation","Reol spielt - Asymmetrie [pk's Hard]","Automation","正在播放Reol - Asymmetry [pk's Hard]","Automation","Reolをプレイ中 - 不対称性 [pkのハード]","Automation","Reol 플레이 중 - 비대칭 [pk's Hard]","Automation","Играет в Reol - Asymmetry [pk's Hard]","Automation","กําลังเล่น Reol - Asymmetry [pk's Hard]","Automation","Reol Oynama - Asimetrik [pk's Hard]","Automation","正在玩 Reol - Asymmetry [pk's Hard]","Automation","Grając w Reol - Asymmetry [pk's Hard]","Automation"
,,"Calliope Mori x Gawr Gura x DECO*{number1}",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.SongArtist","Calliope Mori x Gawr Gura x DECO* {number1}","Automation","Calliope Mori x Gawr Gura x DECO* {number1}","Automation","Calliope Mori x Gawr Gura x DECO*{number1}","Automation","Calliope Mori x Gawr Gura x DECO*{number1}","Automation","Calliope Mori x Gawr Gura x DECO*{number1}","Automation","Calliope Mori x Gawr Gura x DECO*{number1}","Automation","Calliope Mori x Gawr Gura x DECO*{number1}","Automation","卡利奥佩·莫里 x 戈尔·古拉 x DECO* {number1}","Automation","カリオペ・モリ x ゴール・グーラ x デコ* {number1}","Automation","칼리오페 모리 x 고어 구라 x 데코* {number1}","Automation","Каллиопа Мори x Gawr Gura x DECO*{number1}","Automation","Calliope Mori x Gawr Gura x DECO* {number1}","Automation","Calliope Mori x Gawr Gura x DECO*{number1}","Automation","卡利奧佩·莫里 x 戈爾·古拉 x DECO* {number1}","Automation","Calliope Mori x Gawr Gura x DECO*{number1}","Automation"
,,"TERRA",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.SongArtist","SÂN THƯỢNG","Automation","TERRA","Automation","TERRA","Automation","TERRA","Automation","TERRA","Automation","TERRESTRE","Automation","TERRA","Automation","泰拉","Automation","テラ","Automation","테라","Automation","ТЕРРАСА","Automation","เทรา","Automation","TERAS","Automation","大地","Automation","TERRA","Automation"
,,"steven",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerName","cậu bé Steven","Automation","steven","Automation","steven","Automation","esteban","Automation","esteven","Automation","steven","Automation","steven","Automation","史蒂文","Automation","スティーブン","Automation","스티븐","Automation","стевен","Automation","สตีเวน","Automation","steven","Automation","史蒂文","Automation","steven","Automation"
,,"mapset by Luscent",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi Luscent","Automation","mapset oleh Luscent","Automation","mapset di Luscent","Automation","mapset por Luscent","Automation","mapset por Luscent","Automation","mapset par Luscent","Automation","mapset von Luscent","Automation","mapset 由 Luscent 制作","Automation","Luscentのマップセット","Automation","Luscent 제작의 맵 세트","Automation","набор карт от Luscent","Automation","mapset โดย Luscent","Automation","Luscent tarafından haritalar","Automation","Luscent 製作的地圖集","Automation","mapy stworzone przez Luscent","Automation"
,,"VtntGaming {player1}",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.LeaderboardDisplay.MainLeaderboard.LeaderboardScript.LBScript.PlayerFrame.MainFrame.UserDisplayName","Vtnt Gaming {player1}","Automation","VtntGaming {player1}","Automation","VtntGaming {player1}","Automation","VtntGaming {player1}","Automation","VtntGaming {player1}","Automation","VtntGaming {player1}","Automation","VtntGaming {player1}","Automation","Vtnt游戏 {player1}","Automation","VtntGaming {player1}","Automation","Vtnt 게임 {player1}","Automation","VtntGaming {player1}","Automation","VtntGaming {player1}","Automation","VtntGaming {player1}","Automation","Vtnt遊戲 {player1}","Automation","VtntGaming {player1}","Automation"
,,"Eirna's Extra mapped by Hanazawa Kana",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Eirna's Extra đã được map bởi Hanazawa Kana","Automation","Ekstra Eirna dipetakan oleh Hanazawa Kana","Automation","Extra di Eirna mappato da Hanazawa Kana","Automation","Extra de Eirna mapeado por Hanazawa Kana","Automation","Eirna's Extra mapeado por Hanazawa Kana","Automation","Extra d'Eirna cartographié par Hanazawa Kana","Automation","Eirna's Extra wurde von Hanazawa Kana zugeordnet","Automation","Eirna的额外地图由Hanazawa Kana绘制","Automation","EirnaのExtraがHanazawa Kanaによってマッピングされました","Automation","Hanazawa Kana가 매핑한 Eirna의 Extra","Automation","Eirna's Extra отображен Hanazawa Kana","Automation","Eirna's Extra ทําแผนที่โดย Hanazawa Kana","Automation","Eirna'nın Ekstra'sı Hanazawa Kana tarafından eşleştirildi","Automation","Hanazawa Kana 映射了Eirna的Extra","Automation","Eirna's Extra zmapowany przez Hanazawa Kana","Automation"
,,"Expert mapped by daemee",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Chuyên gia được lập bản đồ bởi daemee","Automation","Ahli dipetakan oleh daemee","Automation","Esperto mappato da daemee","Automation","Experto mapeado por daemee","Automation","Especialista mapeado por daemee","Automation","Expert cartographié par daemee","Automation","Experte von daemee zugeordnet","Automation","专家被 daemee 映射","Automation","daemeeによってマッピングされたエキスパート","Automation","daemee에 의해 맵핑된 전문가","Automation","Эксперт сопоставлен daemee","Automation","ผู้เชี่ยวชาญถูกทําแผนที่โดย daemee","Automation","Daemee tarafından eşleştirilen uzman","Automation","由 daemee 映射的專家","Automation","Ekspert zmapowany przez daemee","Automation"
,,"osu!memories",,"PlayerGui.BeatmapChoose.BG.OverviewFrame.PreviewFrame.Overview.MapName","osu!ký ức","Automation","osu! memori","Automation","osu!memoria","Automation","¡Osu! recuerdos","Automation","osu!memórias","Automation","osu!mémoires","Automation","osu!memories","Automation","su!回忆","Automation","osu!メモリ","Automation","오수!추억","Automation","osu!воспоминания","Automation","osu!ความทรงจํา","Automation","osu!memories","Automation","o!回憶","Automation","osu!wspomnienia","Automation"
,,"mapset by Amateurre",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi Amateurre","Automation","set peta oleh Amateurre","Automation","mappe di Amateurre","Automation","mapa por Amateurre","Automation","mapset por Amateurre","Automation","mapset par Amateurre","Automation","mapset von Amateurre","Automation","地图集:Amateurre","Automation","マップセット:Amateurre","Automation","맵 세트 제작자: Amateurre","Automation","набор карт от Amateurre","Automation","แผนที่โดย Amateurre","Automation","Amateurre tarafından harita seti","Automation","Amateurre 製作的地圖集","Automation","zestaw map autorstwa Amateurre","Automation"
,,"[{number1}] apple's Insane",,"PlayerGui.PlayScreen.ContentLoadingUI.BeatmapDisplay.Difficulty","[{number1}] táo điên","Automation","[{number1}] Apel Gila","Automation","[{number1}] mela pazzissima","Automation","[{number1}] manzana loca","Automation","[{number1}] maçã é Insana","Automation","[{number1}] pomme folle","Automation","[{number1}] Apfel's Verrückt","Automation","[{number1}] 苹果的疯狂","Automation","[{number1}] アップルのクレイジー","Automation","[{number1}] 애플의 괴짜","Automation","[{number1}] безумие яблока","Automation","[{number1}] แอปเปิ้ลบ้าคลั่ง","Automation","[{number1}] elmasın Çılgın","Automation","[{number1}] 苹果的疯狂","Automation","[{number1}] szaleństwo jabłka","Automation"
,,"Playing Hatsune Miku - Rubik's Cube [{number1}x{number2}x{number3}]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi Hatsune Miku - Khối lập phương của Rubik [{number1}x{number2}x{number3}]","Automation","Bermain Hatsune Miku - Rubik's Cube [{number1}x{number2}x{number3}]","Automation","Giocando a Hatsune Miku - Cubo di Rubik [{number1}x{number2}x{number3}]","Automation","Jugando a Hatsune Miku - Cubo de Rubik [{number1}x{number2}x{number3}]","Automation","Jogando Hatsune Miku - Cubo de Rubik [{number1}x{number2}x{number3}]","Automation","Jouer à Hatsune Miku - Rubik's Cube [{number1}x{number2}x{number3}]","Automation","Hatsune Miku spielen - Rubik's Cube [{number1}x{number2}x{number3}]","Automation","玩哈苏内·米库 - Rubik's Cube [{number1}x{number2}x{number3}]","Automation","ハツネミクをプレイ中 - ルビックのキューブ [{number1}x{number2}x{number3}]","Automation","하츠네미쿠 플레이 중 - 루비크의 큐브 [{number1}x{number2}x{number3}]","Automation","Играет в Hatsune Miku - Куб Рубика [{number1}x{number2}x{number3}]","Automation","กําลังเล่น Hatsune Miku - Rubik's Cube [{number1}x{number2}x{number3}]","Automation","Hatsune Miku Oynama - Rubik Küpü [{number1}x{number2}x{number3}]","Automation","正在玩「Hatsune Miku」 - 「Rubik's Cube」 [{number1}x{number2}x{number3}]","Automation","Gra w Hatsune Miku - Kostkę Rubika [{number1}x{number2}x{number3}]","Automation"
,,"The Devil Went Down to Georgia",,"PlayerGui.BeatmapChoose.BG.OverviewFrame.PreviewFrame.Overview.MapName","Ma quỷ đã đi xuống Georgia","Automation","Iblis pergi ke Georgia","Automation","Il diavolo è andato in Georgia","Automation","El Diablo Bajó a Georgia","Automation","O Diabo Desceu à Geórgia","Automation","Le diable est descendu en Géorgie","Automation","Der Teufel ging nach Georgien","Automation","恶魔降临乔治亚","Automation","悪魔がジョージアに下りてきた","Automation","악마가 그루지야로 갔다","Automation","Дьявол спустился в Джорджию","Automation","ปีศาจลงไปที่จอร์เจีย","Automation","Şeytan Georgia'ya Gitti","Automation","惡魔去了佐治亞","Automation","Diabeł zstąpił do Gruzji","Automation"
,,"mapset by Kuki{number1}",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi Kuki{number1}","Automation","set peta oleh Kuki{number1}","Automation","mapset di Kuki{number1}","Automation","mapa por Kuki{number1}","Automation","mapset por Kuki{number1}","Automation","mapset par Kuki{number1}","Automation","mapset von Kuki{number1}","Automation","mapset 由 Kuki{number1} 制作","Automation","Kuki{number1} によるマップセット","Automation","Kuki{number1}이 제작한 맵 세트","Automation","набор карт от Kuki{number1}","Automation","mapset โดย Kuki{number1}","Automation","Kuki{number1} tarafından harita seti","Automation","mapset 由 Kuki{number1} 製作","Automation","zestaw map autorstwa Kuki{number1}","Automation"
,,"osu! World Cup {number1}",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.MapSource","osu! World Cup {number1}","Automation","osu! Piala Dunia {number1}","Automation","osu! Coppa del Mondo {number1}","Automation","¡Osu! Copa del Mundo {number1}","Automation","osu! Copa do Mundo {number1}","Automation","osu! Coupe du monde {number1}","Automation","osu! Weltmeisterschaft {number1}","Automation","osu!世界杯 {number1}","Automation","osu! ワールドカップ{number1}","Automation","오오! 월드컵 {number1}","Automation","osu! Чемпионат мира {number1}","Automation","โอ๊ย! ฟุตบอลโลก {number1}","Automation","osu! Dünya Kupası {number1}","Automation","osu! {number1} 世界盃","Automation","osu! Puchar Świata {number1}","Automation"
,,"[SA] Speed adjust [{number1}-{number2}]",,"PlayerGui.BG.SettingsFrame.MainSettings.Speed","[SA] Điều chỉnh tốc độ [{number1}-{number2}]","Automation","[SA] Penyesuaian Kecepatan [{number1}-{number2}]","Automation","[SA] Regolazione della velocità [{number1}-{number2}]","Automation","[SA] Ajuste de velocidad [{number1}-{number2}]","Automation","[SA] Ajuste de velocidade [{number1}-{number2}]","Automation","[SA] Réglage de la vitesse [{number1}-{number2}]","Automation","[SA] Geschwindigkeitseinstellung [{number1}-{number2}]","Automation","[SA] 调整速度 [{number1}-{number2}]","Automation","[SA] スピード調整 [{number1}-{number2}]","Automation","[SA] 속도 조절 [{number1}-{number2}]","Automation","[SA] Скорость регулировки [{number1}-{number2}]","Automation","[SA] ปรับความเร็ว [{number1}-{number2}]","Automation","[SA] Hız ayarı [{number1}-{number2}]","Automation","[SA] 速度調整 [{number1}-{number2}]","Automation","[SA] Regulacja prędkości [{number1}-{number2}]","Automation"
,,"AUTOPLAY",,"PlayerGui.BG.UnrankedSign","TỰ ĐỘNG","Automation","PEMAINAN","Automation","AUTOPLAY","Automation","AUTORIZACIÓN","Automation","AUTOPLAY","Automation","AUTOPLAY","Automation","AUTOPLAY","Automation","自动播放","Automation","自動プレイ","Automation","자동 재생","Automation","АВТОПЛЕЙ","Automation","AUTOPLAY และ","Automation","OTOPLAY","Automation","自動","Automation","AUTOPŁACZ","Automation"
,,"FAITH",,"PlayerGui.BeatmapChoose.BG.OverviewFrame.PreviewFrame.Overview.MapName","TIN TƯỞNG","Automation","IMAN","Automation","FEDE","Automation","FE","Automation","FÉ","Automation","FOI","Automation","GLAUBEN","Automation","信念","Automation","信仰","Automation","믿음","Automation","ВЕРА","Automation","ความผิดพลาด","Automation","İMAN","Automation","信仰","Automation","WIARA","Automation"
,,"huh? mapped by Okoayu",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","huh? được vẽ bởi Okoayu","Automation","huh? dipetakan oleh Okoayu","Automation","eh? mappato da Okoayu","Automation","¿eh? mapeado por Okoayu","Automation","huh? mapeado por Okoayu","Automation","huh? cartographié par Okoayu","Automation","huh? gemappt von Okoayu","Automation","嗯?由Okoayu绘制","Automation","huh? Okoayuがマッピングした","Automation","맞죠? Okoayu님이 맵핑했어요","Automation","да? отображен Okoayu","Automation","ใช่มั้ย? ทําแผนที่โดย Okoayu","Automation","huh? Okoayu tarafından haritalandı","Automation","嗯?由Okoayu繪製","Automation","huh? nakreślone przez Okoayu","Automation"
,,"Extreme mapped by Seto Kousuke",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Cực đoan được ánh xạ bởi Seto Kousuke","Automation","Ekstrim dipetakan oleh Seto Kousuke","Automation","Estremo mappato da Seto Kousuke","Automation","Extremo cartografiado por Seto Kousuke","Automation","Extremo cartografado por Seto Kousuke","Automation","Extrême cartographié par Seto Kousuke","Automation","Extrem kartiert von Seto Kousuke","Automation","由Seto Kousuke制作的极限地图","Automation","エクストリーム マップ作成者: Seto Kousuke","Automation","익스트림 맵 제작: Seto Kousuke","Automation","Экстремальный, нанесенный на карту Seto Kousuke","Automation","ระดับเอ็กซ์ตรีมถูกแมพโดย Seto Kousuke","Automation","Seto Kousuke tarafından haritalandırılan aşırı","Automation","由Seto Kousuke繪製的極限","Automation","Ekstremalne mapowane przez Seto Kousuke","Automation"
